period,keyword,url
초기,입덧 완화,https://www.coupang.com/vp/products/8144907737?itemId=25326749121&vendorItemId=92321621749&sourceType=srp_product_ads&clickEventId=a39b9730-3ae9-11f1-9c6e-f4069a6455a4&korePlacement=15&koreSubPlacement=6&clickEventId=a39b9730-3ae9-11f1-9c6e-f4069a6455a4&korePlacement=15&koreSubPlacement=6
초기,입덧 완화,https://www.coupang.com/vp/products/8909697158?itemId=26025755979&vendorItemId=93007400873&q=%EC%9E%85%EB%8D%A7%20%EC%99%84%ED%99%94&searchId=6ff0522a25756363&sourceType=search&itemsCount=36&searchRank=7&rank=7
초기,입덧 완화,https://www.coupang.com/vp/products/9024104625?itemId=26462007695&vendorItemId=92986396200&sourceType=srp_product_ads&clickEventId=a39b9730-3ae9-11f1-a3ac-80f3c8abe5b8&korePlacement=15&koreSubPlacement=9&clickEventId=a39b9730-3ae9-11f1-a3ac-80f3c8abe5b8&korePlacement=15&koreSubPlacement=9
초기,입덧 완화,https://www.coupang.com/vp/products/8291674567?itemId=18048253569&vendorItemId=90067443911&sourceType=srp_product_ads&clickEventId=a39bbe40-3ae9-11f1-b415-210275221fc5&korePlacement=15&koreSubPlacement=11&clickEventId=a39bbe40-3ae9-11f1-b415-210275221fc5&korePlacement=15&koreSubPlacement=11
초기,입덧 완화,https://www.coupang.com/vp/products/9291564045?itemId=27518603803&vendorItemId=94484569477&sourceType=srp_product_ads&clickEventId=a39bbe40-3ae9-11f1-8aee-8f6237e251ae&korePlacement=15&koreSubPlacement=12&clickEventId=a39bbe40-3ae9-11f1-8aee-8f6237e251ae&korePlacement=15&koreSubPlacement=12
초기,입덧 완화,https://www.coupang.com/vp/products/1821403?itemId=7996165&vendorItemId=71357813827&q=%EC%9E%85%EB%8D%A7%20%EC%99%84%ED%99%94&searchId=6ff0522a25756363&sourceType=search&itemsCount=36&searchRank=12&rank=12
초기,입덧 완화,https://www.coupang.com/vp/products/6305063844?itemId=18216483074&vendorItemId=4278364192&pickType=COU_PICK&q=%EC%9E%85%EB%8D%A7%20%EC%99%84%ED%99%94&searchId=6ff0522a25756363&sourceType=search&itemsCount=36&searchRank=13&rank=13
초기,입덧 완화,https://www.coupang.com/vp/products/9197863424?itemId=27153570364&vendorItemId=94124663536&q=%EC%9E%85%EB%8D%A7%20%EC%99%84%ED%99%94&searchId=6ff0522a25756363&sourceType=search&itemsCount=36&searchRank=14&rank=14
초기,입덧 완화,https://www.coupang.com/vp/products/9430678580?itemId=28039183758&vendorItemId=94996185985&q=%EC%9E%85%EB%8D%A7%20%EC%99%84%ED%99%94&searchId=6ff0522a25756363&sourceType=search&itemsCount=36&searchRank=15&rank=15
초기,입덧 완화,https://www.coupang.com/vp/products/8616753126?itemId=26127759881&vendorItemId=93108082517&q=%EC%9E%85%EB%8D%A7%20%EC%99%84%ED%99%94&searchId=6ff0522a25756363&sourceType=search&itemsCount=36&searchRank=16&rank=16
초기,임산부 유산균,https://www.coupang.com/vp/products/9094908621?itemId=26927823065&vendorItemId=93897058992&sourceType=srp_top_banner_ads&clickEventId=ab21b520-3ae9-11f1-9950-4ab192ae8e40&korePlacement=19
초기,임산부 유산균,https://www.coupang.com/vp/products/8704900774?itemId=25279953691&vendorItemId=92275548196&sourceType=srp_product_ads&clickEventId=ab21b520-3ae9-11f1-93c9-9d2e61fda611&korePlacement=15&koreSubPlacement=1&clickEventId=ab21b520-3ae9-11f1-93c9-9d2e61fda611&korePlacement=15&koreSubPlacement=1
초기,임산부 유산균,https://www.coupang.com/vp/products/9257685788?itemId=17843799754&vendorItemId=84287899402&pickType=COU_PICK&q=%EC%9E%84%EC%82%B0%EB%B6%80%20%EC%9C%A0%EC%82%B0%EA%B7%A0&searchId=5f4900f66240748&sourceType=search&itemsCount=36&searchRank=1&rank=1
초기,임산부 유산균,https://www.coupang.com/vp/products/8386734362?itemId=24240353247&vendorItemId=91490249151&q=%EC%9E%84%EC%82%B0%EB%B6%80%20%EC%9C%A0%EC%82%B0%EA%B7%A0&searchId=5f4900f66240748&sourceType=search&itemsCount=36&searchRank=3&rank=3
초기,임산부 유산균,https://www.coupang.com/vp/products/9447124485?itemId=28045435998&vendorItemId=95002339548&sourceType=srp_product_ads&clickEventId=ab21b520-3ae9-11f1-bcdf-aac120eaaf5c&korePlacement=15&koreSubPlacement=5&clickEventId=ab21b520-3ae9-11f1-bcdf-aac120eaaf5c&korePlacement=15&koreSubPlacement=5
초기,임산부 유산균,https://www.coupang.com/vp/products/8761205761?itemId=26715963985&vendorItemId=93687596513&sourceType=srp_product_ads&clickEventId=ab21b520-3ae9-11f1-ace2-3294ac084186&korePlacement=15&koreSubPlacement=6&clickEventId=ab21b520-3ae9-11f1-ace2-3294ac084186&korePlacement=15&koreSubPlacement=6
초기,임산부 유산균,https://www.coupang.com/vp/products/8203806586?itemId=25437050939&vendorItemId=92103303723&q=%EC%9E%84%EC%82%B0%EB%B6%80%20%EC%9C%A0%EC%82%B0%EA%B7%A0&searchId=5f4900f66240748&sourceType=search&itemsCount=36&searchRank=7&rank=7
초기,임산부 유산균,https://www.coupang.com/vp/products/6444112109?itemId=13960053618&vendorItemId=81209092724&sourceType=srp_product_ads&clickEventId=ab21dc30-3ae9-11f1-a2ae-3b3810fc4334&korePlacement=15&koreSubPlacement=9&clickEventId=ab21dc30-3ae9-11f1-a2ae-3b3810fc4334&korePlacement=15&koreSubPlacement=9
초기,임산부 유산균,https://www.coupang.com/vp/products/6063894601?itemId=18741626520&vendorItemId=85873889893&q=%EC%9E%84%EC%82%B0%EB%B6%80%20%EC%9C%A0%EC%82%B0%EA%B7%A0&searchId=5f4900f66240748&sourceType=search&itemsCount=36&searchRank=9&rank=9
초기,임산부 유산균,https://www.coupang.com/vp/products/5417319601?itemId=23196648430&vendorItemId=90229247717&sourceType=srp_product_ads&clickEventId=ab21dc30-3ae9-11f1-ae92-648e08188ece&korePlacement=15&koreSubPlacement=11&clickEventId=ab21dc30-3ae9-11f1-ae92-648e08188ece&korePlacement=15&koreSubPlacement=11
초기,임산부 유산균,https://www.coupang.com/vp/products/7473118255?itemId=23434133200&vendorItemId=92484956356&sourceType=srp_product_ads&clickEventId=ab21dc30-3ae9-11f1-8435-d2c396e89d04&korePlacement=15&koreSubPlacement=12&clickEventId=ab21dc30-3ae9-11f1-8435-d2c396e89d04&korePlacement=15&koreSubPlacement=12
초기,임산부 유산균,https://www.coupang.com/vp/products/9447201729?itemId=28102550292&vendorItemId=95003281983&q=%EC%9E%84%EC%82%B0%EB%B6%80%20%EC%9C%A0%EC%82%B0%EA%B7%A0&searchId=5f4900f66240748&sourceType=search&itemsCount=36&searchRank=15&rank=15
초기,임산부 유산균,https://www.coupang.com/vp/products/7273997129?itemId=18557700956&vendorItemId=87163064110&q=%EC%9E%84%EC%82%B0%EB%B6%80%20%EC%9C%A0%EC%82%B0%EA%B7%A0&searchId=5f4900f66240748&sourceType=search&itemsCount=36&searchRank=16&rank=16
초기,임산부 유산균,https://www.coupang.com/vp/products/7711702676?itemId=20673628303&vendorItemId=88775210466&q=%EC%9E%84%EC%82%B0%EB%B6%80%20%EC%9C%A0%EC%82%B0%EA%B7%A0&searchId=5f4900f66240748&sourceType=search&itemsCount=36&searchRank=17&rank=17
초기,임산부 유산균,https://www.coupang.com/vp/products/8926560071?itemId=26137355284&vendorItemId=92941790729&sourceType=srp_product_ads&clickEventId=ab21dc30-3ae9-11f1-b5b5-88ad9688a26f&korePlacement=15&koreSubPlacement=21&clickEventId=ab21dc30-3ae9-11f1-b5b5-88ad9688a26f&korePlacement=15&koreSubPlacement=21
중기,철분제,https://www.coupang.com/vp/products/9215982187?itemId=27227767636&vendorItemId=94194926682&sourceType=srp_product_ads&clickEventId=b1ff3700-3ae9-11f1-ac86-ed39aa07ae9c&korePlacement=15&koreSubPlacement=1&clickEventId=b1ff3700-3ae9-11f1-ac86-ed39aa07ae9c&korePlacement=15&koreSubPlacement=1
중기,철분제,https://www.coupang.com/vp/products/1181654?itemId=5108920&vendorItemId=3006347663&pickType=COU_PICK&q=%EC%B2%A0%EB%B6%84%EC%A0%9C&searchId=5db35e2928530021&sourceType=search&itemsCount=36&searchRank=1&rank=1
중기,철분제,https://www.coupang.com/vp/products/135186688?itemId=396715787&vendorItemId=3966321019&q=%EC%B2%A0%EB%B6%84%EC%A0%9C&searchId=5db35e2928530021&sourceType=search&itemsCount=36&searchRank=2&rank=2
